Date,average_sum
9/8/2017,0.144549476
9/11/2017,0.144912566
9/12/2017,0.144107639
9/13/2017,0.144200057
9/14/2017,0.144287241
9/15/2017,0.143991046
9/18/2017,0.142926679
9/19/2017,0.142907654
9/20/2017,0.142603975
9/21/2017,0.142496179
9/22/2017,0.142392167
9/25/2017,0.141954601
9/26/2017,0.142148162
9/27/2017,0.140839738
9/28/2017,0.141297205
9/29/2017,0.140909584
10/2/2017,0.140525497
10/3/2017,0.140738561
10/4/2017,0.140907033
10/5/2017,0.139976252
10/6/2017,0.140252306
10/9/2017,0.140144793
10/10/2017,0.140587902
10/11/2017,0.141109073
10/12/2017,0.140977273
10/13/2017,0.141086073
10/16/2017,0.140549661
10/17/2017,0.140474402
10/18/2017,0.140980997
10/19/2017,0.14081235
10/20/2017,0.139406801
10/23/2017,0.139082613
10/24/2017,0.138856709
10/25/2017,0.137709001
10/26/2017,0.137167527
10/27/2017,0.137562466
10/30/2017,0.137318925
10/31/2017,0.13683398
11/1/2017,0.137067944
11/2/2017,0.137625442
11/3/2017,0.137954685
11/6/2017,0.138578408
11/7/2017,0.137872061
11/8/2017,0.138364552
11/9/2017,0.138766819
11/10/2017,0.138749689
11/13/2017,0.13825576
11/14/2017,0.138256327
11/15/2017,0.137965283
11/16/2017,0.138052661
11/17/2017,0.138021996
11/20/2017,0.13746713
11/21/2017,0.137875763
11/22/2017,0.138753552
11/23/2017,0.138619362
11/24/2017,0.138557902
11/27/2017,0.138063151
11/28/2017,0.137610109
11/29/2017,0.137117153
11/30/2017,0.136803909
12/1/2017,0.138828019
12/4/2017,0.138956662
12/5/2017,0.138789871
12/6/2017,0.137828321
12/7/2017,0.137198199
12/8/2017,0.137252216
12/11/2017,0.137148088
12/12/2017,0.137077754
12/13/2017,0.137525127
12/14/2017,0.137688379
12/15/2017,0.137106506
12/18/2017,0.137090191
12/19/2017,0.136963156
12/20/2017,0.137389289
12/21/2017,0.138288799
12/22/2017,0.1383209
12/25/2017,0.138427046
12/26/2017,0.138795823
12/27/2017,0.139102336
12/28/2017,0.139948148
12/29/2017,0.139931665
1/1/2018,0.119184718
1/2/2018,0.11953368
1/3/2018,0.119365232
1/4/2018,0.119752815
1/5/2018,0.120398709
1/8/2018,0.120255808
1/9/2018,0.119845118
1/10/2018,0.119230677
1/11/2018,0.119484301
1/12/2018,0.120065314
1/15/2018,0.120327982
1/16/2018,0.120234224
1/17/2018,0.120246636
1/18/2018,0.120433542
1/19/2018,0.119868263
