words,count
winning,82.0
disaster,81.0
longer,81.0
reason,81.0
read,81.0
How,81.0
Department,81.0
leadership,81.0
DACA,80.0
Pennsylvania,80.0
More,80.0
stated,80.0
worst,80.0
FEMA,80.0
relationship,80.0
built,80.0
former,80.0
fair,79.0
Please,79.0
amazing,79.0
victory,79.0
historic,79.0
top,79.0
everything,79.0
Israel,78.0
unfair,78.0
Fed,78.0
ridiculous,78.0
build,78.0
nytimes,78.0
Amendment,78.0
person,78.0
attack,78.0
needed,78.0
Nations,78.0
happening,77.0
false,77.0
success,77.0
power,77.0
announced,77.0
Syria,77.0
P.M.,77.0
public,77.0
TomFitton,76.0
saying,76.0
Ukraine,76.0
fired,76.0
friends,76.0
Committee,76.0
free,76.0
These,76.0
OF,76.0
pass,76.0
else,75.0
stronger,75.0
w/,75.0
100,75.0
At,74.0
Mark,74.0
Post,73.0
smart,73.0
interview,73.0
Nuclear,73.0
fix,73.0
guy,73.0
possible,73.0
foreign,73.0
interviewed,73.0
Canada,73.0
crisis,73.0
decision,73.0
Rigged,72.0
Alabama,72.0
Schumer,72.0
immediately,72.0
oil,72.0
fully,72.0
Can,71.0
respected,71.0
months,71.0
Chuck,71.0
failed,71.0
went,71.0
successful,71.0
entire,71.0
reporting,71.0
thousands,71.0
Force,70.0
crowd,70.0
stay,70.0
tell,70.0
words,70.0
Bless,70.0
Michael,69.0
meet,69.0
building,69.0
started,69.0
meetings,69.0
Poll,69.0
especially,69.0
Bob,69.0
signed,69.0
France,68.0
paying,68.0
evening,68.0
Reform,68.0
interest,68.0
watching,68.0
Scavino45,68.0
DNC,68.0
Steel,68.0
higher,68.0
cost,67.0
criminal,67.0
dbongino,67.0
thought,67.0
JudicialWatch,67.0
control,67.0
knew,67.0
continues,67.0
worked,66.0
allow,66.0
across,66.0
speech,66.0
Puerto,66.0
Rico,66.0
LouDobbs,66.0
horrible,66.0
respect,66.0
quickly,66.0
able,66.0
lot,66.0
action,66.0
illegally,66.0
point,66.0
says,66.0
Page,66.0
Un,65.0
agree,65.0
enemy,65.0
early,65.0
Xi,65.0
prices,65.0
local,65.0
spending,65.0
Patrol,65.0
U.S,65.0
Virginia,65.0
agenda,65.0
Director,65.0
Chairman,65.0
progress,65.0
game,65.0
Whistleblower,65.0
Union,64.0
potential,64.0
happened,64.0
GOP,64.0
small,64.0
Turkey,64.0
beginning,64.0
Attorney,64.0
crimes,63.0
decades,63.0
leader,63.0
Adam,63.0
old,63.0
evidence,63.0
Freedom,63.0
results,63.0
Air,62.0
agreement,62.0
ask,62.0
came,62.0
Mike,62.0
