"Date","Price","Open","High","Low","Change %"
"Nov 01, 2019","6.9150","6.9150","6.9150","6.9150","0.00%"
"Oct 31, 2019","6.9150","6.9150","6.9150","6.9150","0.00%"
"Oct 30, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 29, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 28, 2019","6.9150","6.9150","6.9250","6.9050","0.00%"
"Oct 25, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 24, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 23, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 22, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 21, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 18, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Oct 17, 2019","6.9150","6.9150","6.9250","6.9050","0.00%"
"Oct 16, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Oct 15, 2019","6.9150","6.9150","6.9250","6.9050","0.00%"
"Oct 14, 2019","6.9150","6.9150","6.9150","6.9150","0.00%"
"Oct 11, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 10, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Oct 09, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 08, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 07, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 04, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 03, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Oct 02, 2019","6.9150","6.9150","6.9150","6.9150","0.00%"
"Oct 01, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Sep 30, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Sep 27, 2019","6.9150","6.9150","6.9150","6.9050","0.00%"
"Sep 26, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Sep 25, 2019","6.9150","6.9250","6.9350","6.9050","-0.14%"
"Sep 24, 2019","6.9250","6.9150","6.9250","6.9050","0.14%"
"Sep 23, 2019","6.9150","6.9250","6.9350","6.9150","-0.14%"
"Sep 20, 2019","6.9250","6.9150","6.9250","6.9150","0.14%"
"Sep 19, 2019","6.9150","6.9150","6.9250","6.9150","0.00%"
"Sep 18, 2019","6.9150","6.9250","6.9350","6.9150","-0.14%"
"Sep 17, 2019","6.9250","6.9250","6.9350","6.9150","0.22%"
"Sep 16, 2019","6.9100","6.9200","6.9300","6.9100","-0.22%"
"Sep 13, 2019","6.9250","6.9250","6.9350","6.9150","0.00%"
"Sep 12, 2019","6.9250","6.9350","6.9350","6.9150","-0.14%"
"Sep 11, 2019","6.9350","6.9350","6.9350","6.9150","0.00%"
